Accession	Organism_Name	Species	Pangolin	PangoVersions	Genotype	Isolate	Length	Nuc_Completeness	Geo_Location	Country	Host	Organization	Org_location	Collection_Date	Molecule_type
ON980705	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Nasopharyngeal swab	29825	partial	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-30	ssRNA(+)
ON980706	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Nasopharyngeal swab	29788	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-30	ssRNA(+)
ON810538	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-28	29823	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
ON810539	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-29	29810	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
ON810540	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-30	29789	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
ON810541	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-37	29785	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
ON810542	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-39	29789	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
ON810543	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-42	29811	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-30	ssRNA(+)
ON810544	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-46	29787	partial	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-30	ssRNA(+)
ON026021	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-1	29787	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-03	ssRNA(+)
ON026022	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-2	29790	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-04	ssRNA(+)
ON026023	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.17.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-4	29791	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-04	ssRNA(+)
ON026024	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-5	29797	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-06	ssRNA(+)
ON026025	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-6	29771	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-06	ssRNA(+)
ON026026	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-7	29771	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-13	ssRNA(+)
ON026027	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-10	29768	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-13	ssRNA(+)
ON026028	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-11	29768	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-15	ssRNA(+)
ON026029	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-14	29794	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-16	ssRNA(+)
ON026030	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-16	29798	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026031	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.37	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-17	29758	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026032	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-18	29771	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026033	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-19	29768	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026034	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-20	29760	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026035	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-21	29776	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026036	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-22	29789	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026037	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-23	29749	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026038	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-26	29770	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-22	ssRNA(+)
ON026039	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-27	29771	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-22	ssRNA(+)
ON026040	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-28	29770	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-22	ssRNA(+)
ON026041	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-30	29770	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-29	ssRNA(+)
ON026042	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-33	29786	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-06	ssRNA(+)
ON026043	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-34	29789	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-13	ssRNA(+)
ON026044	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-35	29774	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-13	ssRNA(+)
ON026045	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-37	29794	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-13	ssRNA(+)
ON026046	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-38	29788	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-15	ssRNA(+)
ON026047	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-39	29754	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-15	ssRNA(+)
ON026048	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-40	29790	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-15	ssRNA(+)
ON026049	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-41	29793	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-19	ssRNA(+)
ON026050	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-42	29791	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-19	ssRNA(+)
ON026051	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-46	29762	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026052	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-47	29771	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026053	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-49	29791	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026054	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-51	29763	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026055	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-52	29793	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026056	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-54	29749	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026057	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-55	29768	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026058	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-56	29784	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-20	ssRNA(+)
ON026059	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		DHA-BSMMU-VIRO-59	29768	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Virology	Bangladesh	2022-01-30	ssRNA(+)
OM988402	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1038	29487	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988403	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1042	29015	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988404	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1045	29768	complete	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988405	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1040	29484	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988406	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1039	29488	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988407	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1037	29656	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988408	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1036	29772	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988409	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1035	29479	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988410	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1044	29494	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988411	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1043	29489	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988412	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1041	29772	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM988413	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1054	29783	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988414	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1056	29777	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988415	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1055	29672	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988416	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1050	29487	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988417	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1048	29488	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988418	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1049	29489	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988419	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1051	29786	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988420	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1052	29482	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988421	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1047	29506	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM988422	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1046	29762	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-01	ssRNA(+)
OM760603	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1014	29784	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760604	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1015	29773	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760605	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1016	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760606	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1024	29796	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760607	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1022	29784	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760608	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1023	29768	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760609	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1011	29760	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-19	ssRNA(+)
OM760620	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1032	29776	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM760621	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1030	29771	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM760622	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_1033	29772	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-01-31	ssRNA(+)
OM760544	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.529	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		Laila_986	29778	partial	Bangladesh	Bangladesh	Homo sapiens	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Bangladesh	2022-02-03	ssRNA(+)
